refset;algorithm;variation;binary;expression;bp distance;Recall snps;Recall genes;ROC-AUC overall (lso);ROC-AUC - mean per snpl (lso);Hits@1(lso);Hits@3(lso);Hits@5(lso);Hits@10(lso);Mean rank (lso);Median rank (lso);ROC-AUC overall (lco);ROC-AUC - mean per snpl (lco);Hits@1(lco);Hits@3(lco);Hits@5(lco);Hits@10(lco);Mean rank (lco);Median rank (lco)
farashi;KNN;combo;normal;no expression;2000;194,0;208,0;85,42736948280944;0,7717156285556491;27,0;83,0;112,0;174,0;7,600961538461538;5,0;75,43557603382216;0,7057454095588431;15,0;57,0;82,0;127,0;12,716346153846153;8,0
farashi;RF;combo;binary;diff expression;100;54,0;215,0;72,88963342530549;0,6353279030910609;28,0;73,0;104,0;164,0;15,511627906976743;6,0;58,18407567993693;0,4809489000278474;20,0;50,0;69,0;118,0;16,49767441860465;9,0
farashi;RF;combo;binary;diff expression;500;135,0;531,0;87,61562390675053;0,6802282960383651;48,0;145,0;230,0;353,0;20,853107344632768;7,0;71,74571227412703;0,5159885343216328;19,0;65,0;123,0;230,0;69,23728813559322;13,0
farashi;RF;combo;binary;diff expression;1000;173,0;664,0;88,022695332153;0,6737826771030316;55,0;148,0;220,0;352,0;33,756024096385545;9,0;69,83835361993455;0,5028617219637074;15,0;40,0;75,0;155,0;147,8644578313253;28,0
farashi;RF;combo;binary;diff expression;2000;194,0;736,0;87,49157175116447;0,7059114432345382;57,0;157,0;227,0;349,0;53,92798913043478;11,0;67,9158105019158;0,504737245844427;10,0;34,0;59,0;129,0;208,19701086956522;55,0
farashi;RF;combo;binary;no expression;100;54,0;55,0;76,54808959156786;0,7253086419753086;31,0;52,0;53,0;55,0;1,7636363636363637;1,0;61,66666666666666;0,48379629629629634;19,0;51,0;53,0;55,0;2,2363636363636363;2,0
farashi;RF;combo;binary;no expression;500;135,0;144,0;80,46498481547502;0,6938815351471632;54,0;93,0;111,0;131,0;4,263888888888889;2,0;68,49933155080214;0,528215758472281;26,0;63,0;82,0;117,0;6,763888888888889;4,0
farashi;RF;combo;binary;no expression;1000;173,0;185,0;81,4336825964733;0,7125546921418803;54,0;95,0;121,0;155,0;6,886486486486486;3,0;67,02813214441122;0,5282239005812941;12,0;38,0;69,0;118,0;12,064864864864864;8,0
farashi;RF;combo;binary;no expression;2000;194,0;208,0;80,96000767299816;0,720663603782029;42,0;88,0;111,0;146,0;10,8125;5,0;65,83089423458033;0,5384309431871278;6,0;25,0;46,0;88,0;19,5625;12,5
farashi;RF;combo;normal;diff expression;100;54,0;215,0;72,45092629089476;0,6529320987654322;29,0;74,0;106,0;166,0;16,56279069767442;6,0;62,44422546314545;0,5570291469414277;23,0;53,0;71,0;118,0;15,38139534883721;9,0
farashi;RF;combo;normal;diff expression;500;135,0;531,0;88,05564134577097;0,6895244946566419;50,0;152,0;230,0;344,0;17,815442561205273;7,0;71,59365055676122;0,5111015841604328;14,0;61,0;111,0;190,0;65,16007532956685;16,0
farashi;RF;combo;normal;diff expression;1000;173,0;664,0;89,21779882383301;0,6753859380050992;44,0;128,0;197,0;338,0;24,03463855421687;10,0;69,17161558040678;0,5221016248388393;15,0;47,0;78,0;184,0;154,15813253012047;39,5
farashi;RF;combo;normal;diff expression;2000;194,0;736,0;88,17032833288071;0,7152982137112767;46,0;132,0;201,0;344,0;40,78804347826087;12,0;66,66021459516091;0,5241181220776585;17,0;52,0;94,0;188,0;221,05027173913044;66,0
farashi;RF;combo;normal;no expression;100;54,0;55,0;72,91831357048748;0,7179012345679013;32,0;49,0;53,0;55,0;1,9454545454545455;1,0;65,07905138339922;0,5736111111111112;27,0;47,0;52,0;55,0;2,2363636363636363;2,0
farashi;RF;combo;normal;no expression;500;135,0;144,0;81,11548491450452;0,7027811916440112;55,0;95,0;110,0;132,0;4,125;2,0;69,88760150524857;0,5788030981901615;27,0;66,0;88,0;118,0;6,388888888888889;4,0
farashi;RF;combo;normal;no expression;1000;173,0;185,0;81,00890310192635;0,6965447067579054;45,0;85,0;117,0;151,0;6,616216216216216;4,0;69,2961092961093;0,545674946409243;16,0;55,0;79,0;128,0;11,827027027027027;7,0
farashi;RF;combo;normal;no expression;2000;194,0;208,0;80,41575200463429;0,71025126270871;45,0;83,0;101,0;143,0;10,966346153846153;6,0;67,58034416699697;0,5466925285289952;10,0;34,0;60,0;98,0;19,548076923076923;12,0
farashi p-value cutoff;LR;combo;binary;diff expression;100;24,0;73,0;69,13148821172305;0,5310672514619883;10,0;31,0;40,0;49,0;20,726027397260275;5,0;67,81753797409374;0,7554250208855472;13,0;32,0;39,0;39,0;23,068493150684933;4,0
farashi p-value cutoff;LR;combo;binary;diff expression;500;60,0;205,0;89,40639940037273;0,7095416083332402;20,0;60,0;82,0;97,0;18,55609756097561;13,0;71,86644113118872;0,5989771232470323;11,0;32,0;47,0;69,0;86,06829268292682;43,0
farashi p-value cutoff;LR;combo;binary;diff expression;1000;79,0;258,0;91,57166104241598;0,7296218295251395;25,0;69,0;102,0;126,0;21,488372093023255;11,5;78,7811690078767;0,6900722019537654;12,0;39,0;51,0;73,0;102,02713178294573;44,5
farashi p-value cutoff;LR;combo;binary;diff expression;2000;88,0;274,0;90,64444071341114;0,7602081579789192;31,0;81,0;112,0;135,0;30,01824817518248;12,0;81,26287156159447;0,761612595065062;18,0;54,0;69,0;84,0;97,75547445255475;44,5
farashi p-value cutoff;LR;combo;binary;no expression;100;24,0;25,0;65,40298507462687;0,5763888888888888;11,0;20,0;23,0;25,0;2,36;2,0;74,50746268656717;0,6916666666666668;8,0;25,0;25,0;25,0;1,8;2,0
farashi p-value cutoff;LR;combo;binary;no expression;500;60,0;62,0;78,92779036163398;0,646134149735713;21,0;31,0;47,0;54,0;5,129032258064516;3,5;75,50085917363117;0,6591012742143106;21,0;39,0;46,0;49,0;6,532258064516129;3,0
farashi p-value cutoff;LR;combo;binary;no expression;1000;79,0;83,0;74,09958830003434;0,610442564984;15,0;26,0;40,0;57,0;11,301204819277109;6,0;78,55520681081018;0,7099318479687485;19,0;41,0;49,0;58,0;9,072289156626505;4,0
farashi p-value cutoff;LR;combo;binary;no expression;2000;88,0;92,0;65,03371772093908;0,520418610485976;7,0;13,0;17,0;38,0;22,782608695652176;15,0;81,38499659191221;0,7642755012537024;20,0;41,0;49,0;58,0;11,01086956521739;5,0
farashi p-value cutoff;LR;combo;normal;diff expression;100;24,0;73,0;69,9934768427919;0,599122807017544;11,0;33,0;42,0;49,0;20,575342465753426;4,0;69,86301369863014;0,8195749791144529;15,0;33,0;39,0;39,0;19,21917808219178;4,0
