refset;algorithm;variation;binary;expression;bp distance;Recall snps;Recall genes;ROC-AUC overall (lso);ROC-AUC - mean per snpl (lso);Hits@1(lso);Hits@3(lso);Hits@5(lso);Hits@10(lso);Mean rank (lso);Median rank (lso);ROC-AUC overall (lco);ROC-AUC - mean per snpl (lco);Hits@1(lco);Hits@3(lco);Hits@5(lco);Hits@10(lco);Mean rank (lco);Median rank (lco)
farashi;DT;incoming;binary;diff expression;1000;159,0;613,0;91,61087210966863;0,7200941778057633;48,0;144,0;228,0;346,0;13,536704730831975;8,0;74,90607681982038;0,6474882826468198;18,0;62,0;97,0;152,0;65,04730831973899;25,0
farashi;DT;incoming;binary;diff expression;2000;180,0;680,0;92,02539982626239;0,7703720192143519;55,0;162,0;254,0;382,0;17,32794117647059;8,0;77,1082424711878;0,7155490887664239;23,0;73,0;111,0;212,0;73,22205882352941;22,5
farashi;DT;incoming;binary;no expression;100;45,0;46,0;77,75661138502915;0,7665079365079365;29,0;43,0;44,0;46,0;1,7173913043478262;1,0;70,15912147019273;0,6597258297258297;23,0;44,0;46,0;46,0;1,826086956521739;1,5
farashi;DT;incoming;binary;no expression;500;121,0;130,0;82,26436372269707;0,7112398395347506;50,0;85,0;108,0;126,0;3,4153846153846152;2,0;69,59134615384616;0,5821942488451555;22,0;66,0;94,0;111,0;5,969230769230769;3,0
farashi;DT;incoming;binary;no expression;1000;159,0;170,0;84,82314744079449;0,730786544491383;50,0;109,0;127,0;151,0;4,8352941176470585;2,0;74,12012987012987;0,650036257082149;32,0;63,0;98,0;130,0;7,929411764705883;5,0
farashi;DT;incoming;binary;no expression;2000;180,0;192,0;86,76207405880737;0,7881781607751905;60,0;122,0;136,0;160,0;6,572916666666667;2,0;74,16439097279472;0,6910030852618482;16,0;47,0;77,0;123,0;11,588541666666666;7,0
farashi;DT;incoming;normal;diff expression;100;45,0;193,0;82,63893817872099;0,6939864689045017;27,0;73,0;109,0;169,0;8,89119170984456;5,0;65,28201670333831;0,620669615751583;22,0;53,0;73,0;103,0;12,481865284974093;9,0
farashi;DT;incoming;normal;diff expression;500;121,0;492,0;88,91760538087308;0,6938439852837234;49,0;142,0;207,0;295,0;11,209349593495935;7,0;72,48101348483364;0,6207214769934593;29,0;84,0;132,0;230,0;49,729674796747965;11,0
farashi;DT;incoming;normal;diff expression;1000;159,0;613,0;91,33971931818608;0,7253608525524433;52,0;152,0;229,0;334,0;13,99184339314845;8,0;76,80608009642899;0,6705155732723705;29,0;85,0;120,0;187,0;59,75530179445351;18,0
farashi;DT;incoming;normal;diff expression;2000;180,0;680,0;91,88447050508633;0,7742341378890175;52,0;159,0;259,0;373,0;17,580882352941178;8,0;75,85032690679219;0,7042377405730389;13,0;53,0;82,0;148,0;72,80735294117648;30,0
farashi;DT;incoming;normal;no expression;100;45,0;46,0;72,91573285522188;0,7304665704665704;25,0;42,0;46,0;46,0;1,7826086956521738;1,0;70,88749439713132;0,6915776815776817;22,0;43,0;46,0;46,0;1,8043478260869565;2,0
farashi;DT;incoming;normal;no expression;500;121,0;130,0;84,2346272554606;0,7349123638271092;50,0;90,0;112,0;127,0;3,0384615384615383;2,0;73,39446818613486;0,6135138249885682;32,0;75,0;99,0;114,0;5,369230769230769;3,0
farashi;DT;incoming;normal;no expression;1000;159,0;170,0;84,65355233002293;0,7323942045185359;51,0;105,0;129,0;151,0;4,894117647058824;2,0;75,18983957219251;0,6714392472255757;28,0;72,0;97,0;132,0;7,4941176470588236;5,0
farashi;DT;incoming;normal;no expression;2000;180,0;192,0;85,56437208024182;0,7659578933971634;56,0;112,0;133,0;158,0;7,026041666666667;3,0;76,5911393926903;0,710948185507129;15,0;58,0;99,0;127,0;10,546875;5,0
farashi;DT;outgoing;binary;diff expression;100;50,0;210,0;75,23249898249898;0,6664857142857143;27,0;72,0;109,0;171,0;9,90952380952381;5,0;75,86792836792836;0,711904761904762;28,0;72,0;100,0;167,0;9,128571428571428;6,0
farashi;DT;outgoing;binary;diff expression;500;128,0;511,0;88,86989511116995;0,704506436012442;47,0;148,0;222,0;305,0;11,796477495107633;7,0;70,50412145797272;0,6099574537326526;21,0;75,0;103,0;166,0;52,11937377690802;18,0
farashi;DT;outgoing;binary;diff expression;1000;164,0;642,0;90,956590279697;0,7490998281632647;53,0;154,0;233,0;336,0;15,707165109034268;9,0;81,11834152100877;0,7054987829178458;35,0;101,0;163,0;264,0;50,454828660436135;16,0
farashi;DT;outgoing;binary;diff expression;2000;182,0;705,0;91,16159765021273;0,7693306522218955;56,0;161,0;256,0;365,0;20,45390070921986;9,0;75,87827170772862;0,7376535197588202;24,0;68,0;101,0;171,0;80,37446808510639;30,0
farashi;DT;outgoing;binary;no expression;100;50,0;51,0;73,98395721925132;0,7526190476190476;31,0;47,0;50,0;51,0;1,7450980392156863;1,0;70,06238859180036;0,6990317460317459;23,0;49,0;51,0;51,0;1,7647058823529411;2,0
farashi;DT;outgoing;binary;no expression;500;128,0;137,0;83,09252290068444;0,7084182866698466;48,0;94,0;116,0;131,0;3,291970802919708;2,0;73,15347077190297;0,613150653177111;25,0;79,0;104,0;121,0;5,37956204379562;3,0
farashi;DT;outgoing;binary;no expression;1000;164,0;176,0;86,43846006669219;0,7497376581602172;51,0;116,0;136,0;159,0;4,3977272727272725;2,0;73,3661783195758;0,626446659869395;20,0;69,0;97,0;132,0;8,482954545454545;5,0
farashi;DT;outgoing;binary;no expression;2000;182,0;196,0;85,26627809300663;0,7496660815046035;53,0;113,0;129,0;157,0;7,280612244897959;3,0;76,48088726107065;0,7101493012482588;15,0;57,0;88,0;128,0;10,862244897959183;6,0
farashi;DT;outgoing;normal;diff expression;100;50,0;210,0;74,8702686202686;0,651952380952381;27,0;72,0;108,0;171,0;10,50952380952381;5,0;52,33719983719985;0,5614857142857143;20,0;51,0;70,0;107,0;16,39047619047619;10,0
farashi;DT;outgoing;normal;diff expression;500;128,0;511,0;88,8537750477967;0,7133146337083864;49,0;144,0;219,0;305,0;11,810176125244618;7,0;73,23453208591623;0,6462384266401661;33,0;102,0;144,0;227,0;47,86888454011741;14,0
farashi;DT;outgoing;normal;diff expression;1000;164,0;642,0;90,92169160570562;0,7401218624357878;52,0;150,0;232,0;332,0;15,744548286604362;9,0;74,4280330590321;0,6692931592157877;31,0;96,0;148,0;228,0;77,49688473520249;24,0
farashi;DT;outgoing;normal;diff expression;2000;182,0;705,0;91,1422632891994;0,7653586330089401;55,0;159,0;250,0;363,0;20,478014184397164;10,0;79,88239499714925;0,7450783463723852;24,0;68,0;109,0;191,0;64,58014184397163;26,0
farashi;DT;outgoing;normal;no expression;100;50,0;51,0;67,4866310160428;0,6703968253968253;27,0;46,0;50,0;51,0;1,9607843137254901;1,0;66,14081996434938;0,5593333333333333;22,0;48,0;50,0;51,0;1,9411764705882353;2,0
farashi;DT;outgoing;normal;no expression;500;128,0;137,0;83,71828539525652;0,7065276383407793;50,0;95,0;119,0;131,0;3,1824817518248176;2,0;71,53000351522921;0,5867750470044714;33,0;72,0;99,0;117,0;5,795620437956204;3,0
