refset;algorithm;variation;weighted;bp distance;ROC-AUC overall (lso);ROC-AUC - mean per snpl (lso);Hits@1(lso);Hits@3(lso);Hits@5(lso);Hits@10(lso);Mean rank (lso);Median rank (lso);ROC-AUC overall (lco);ROC-AUC - mean per snpl (lco);Hits@1(lco);Hits@3(lco);Hits@5(lco);Hits@10(lco);Mean rank (lco);Median rank (lco)
farashi p-value cutoff;LR;autoencode;weighted;1000;67,47395575535587;0,5088434126533148;7,0;22,0;27,0;51,0;15,180722891566266;7,0;77,7326803589418;0,6907556061634497;16,0;37,0;47,0;58,0;9,349397590361447;5,0
farashi p-value cutoff;LR;autoencode;weighted;2000;62,88746047176874;0,4846655225718726;5,0;11,0;21,0;34,0;25,347826086956523;16,5;81,19643435799448;0,7628960222602909;20,0;39,0;48,0;58,0;11,097826086956522;5,0
farashi p-value cutoff;LR;autoencode;unweighted;100;66,68656716417911;0,5902777777777778;11,0;21,0;24,0;24,0;2,44;2,0;69,34328358208955;0,6118055555555556;7,0;23,0;25,0;25,0;2,0;2,0
farashi p-value cutoff;LR;autoencode;unweighted;500;71,30848238694057;0,6104213554973178;19,0;29,0;36,0;47,0;7,096774193548387;4,0;73,83621026321956;0,644714431090438;16,0;35,0;44,0;50,0;6,806451612903226;3,0
farashi p-value cutoff;LR;autoencode;unweighted;1000;67,77763543298376;0,5177846628407243;8,0;23,0;29,0;51,0;15,228915662650602;7,0;77,59758220897122;0,6923999086258548;16,0;40,0;48,0;58,0;9,506024096385541;4,0
farashi p-value cutoff;LR;autoencode;unweighted;2000;62,943610114757576;0,48277111773940695;6,0;11,0;21,0;35,0;25,52173913043478;17,0;81,183025488027;0,7606879471315234;18,0;39,0;49,0;59,0;11,119565217391305;5,0
farashi p-value cutoff;LR;combi;weighted;100;64,26865671641791;0,61875;11,0;20,0;24,0;24,0;2,56;2,0;76,4179104477612;0,7506944444444444;12,0;22,0;25,0;25,0;1,8;2,0
farashi p-value cutoff;LR;combi;weighted;500;81,11770678747169;0,717118362430751;25,0;40,0;46,0;54,0;4,741935483870968;2,0;75,1786690619386;0,6596069700875984;18,0;37,0;46,0;50,0;6,5;3,0
farashi p-value cutoff;LR;combi;weighted;1000;71,99304710383342;0,5653101743627104;10,0;24,0;32,0;56,0;12,301204819277109;7,0;78,19678908965975;0,695359650520941;17,0;37,0;46,0;58,0;8,951807228915662;5,0
farashi p-value cutoff;LR;combi;weighted;2000;63,47870783189747;0,48709941221879977;5,0;12,0;22,0;35,0;24,97826086956522;15,5;81,02812510475678;0,7617173559895339;20,0;37,0;48,0;58,0;11,206521739130435;5,0
farashi p-value cutoff;LR;combi;unweighted;100;63,13432835820895;0,5590277777777778;10,0;21,0;23,0;24,0;2,64;2,0;68,2089552238806;0,59375;7,0;23,0;25,0;25,0;2,04;2,0
farashi p-value cutoff;LR;combi;unweighted;500;78,34882449425916;0,7003104952696246;22,0;34,0;43,0;52,0;5,258064516129032;2,0;72,99070530344451;0,6416165025400387;16,0;34,0;42,0;50,0;7,016129032258065;3,0
farashi p-value cutoff;LR;combi;unweighted;1000;72,01401060986333;0,5647652460614773;9,0;27,0;35,0;55,0;12,63855421686747;6,0;77,72190744612088;0,6950705153439564;17,0;41,0;46,0;59,0;9,433734939759036;4,0
farashi p-value cutoff;LR;combi;unweighted;2000;63,91044550970467;0,49291914196241815;6,0;13,0;23,0;37,0;24,956521739130434;15,0;81,26473578939135;0,7608228135813856;20,0;39,0;49,0;59,0;11,108695652173912;5,0
farashi p-value cutoff;SVM;normal;weighted;100;71,37313432835822;0,6881944444444444;12,0;22,0;25,0;25,0;2,0;2,0;59,61194029850747;0,4694444444444444;6,0;20,0;25,0;25,0;2,44;2,0
farashi p-value cutoff;SVM;normal;weighted;500;81,2270561587128;0,7025116009773479;24,0;36,0;45,0;56,0;4,354838709677419;2,0;66,61817542763416;0,5170277186570438;11,0;26,0;33,0;44,0;8,17741935483871;5,0
farashi p-value cutoff;SVM;normal;weighted;1000;85,59108352210193;0,7526040997506321;22,0;48,0;57,0;72,0;5,9397590361445785;3,0;67,94563464102909;0,534961002978774;10,0;22,0;33,0;52,0;15,240963855421686;8,0
farashi p-value cutoff;SVM;normal;weighted;2000;86,4562032784687;0,7860190267144763;31,0;54,0;57,0;68,0;8,521739130434783;2,0;64,14091046227078;0,5068007767405708;3,0;17,0;24,0;34,0;24,82608695652174;13,5
farashi p-value cutoff;SVM;normal;unweighted;100;72,53731343283583;0,71875;14,0;21,0;24,0;25,0;2,08;1,0;58,537313432835816;0,4534722222222222;6,0;20,0;24,0;25,0;2,56;2,0
farashi p-value cutoff;SVM;normal;unweighted;500;83,54584862922752;0,7161725651266286;22,0;38,0;50,0;58,0;3,838709677419355;2,5;65,973795204249;0,46726958264416585;5,0;23,0;38,0;48,0;8,580645161290322;4,0
farashi p-value cutoff;SVM;normal;unweighted;1000;86,99156218882295;0,7452990011612229;22,0;51,0;59,0;72,0;5,228915662650603;3,0;67,78491442813302;0,5011429606584152;9,0;21,0;32,0;46,0;14,91566265060241;9,0
farashi p-value cutoff;SVM;normal;unweighted;2000;88,01875565686701;0,8065152628221405;33,0;51,0;58,0;75,0;7,5;2,0;65,07743622406223;0,5001022226646126;4,0;11,0;24,0;41,0;23,73913043478261;15,5
farashi p-value cutoff;SVM;graphlet;weighted;100;68,53731343283582;0,6777777777777777;11,0;22,0;24,0;25,0;2,12;2,0;60,80597014925373;0,5375;9,0;19,0;23,0;25,0;2,52;2,0
farashi p-value cutoff;SVM;graphlet;weighted;500;84,28298055143327;0,742752919519105;26,0;41,0;53,0;56,0;3,9193548387096775;2,0;64,65379207998126;0,5184857828524434;11,0;26,0;33,0;39,0;8,806451612903226;5,0
farashi p-value cutoff;SVM;graphlet;weighted;1000;85,66794971087832;0,7411867117995332;23,0;47,0;56,0;71,0;5,819277108433735;3,0;66,50089968380045;0,4983420101621272;7,0;20,0;33,0;44,0;15,024096385542169;8,0
farashi p-value cutoff;SVM;graphlet;weighted;2000;84,59097359570022;0,7535776243179957;28,0;47,0;57,0;69,0;10,271739130434783;3,0;61,07460918731075;0,43298523478128903;4,0;14,0;18,0;33,0;27,47826086956522;17,0
farashi p-value cutoff;SVM;graphlet;unweighted;100;66,98507462686567;0,6798611111111112;11,0;21,0;25,0;25,0;2,16;2,0;61,67164179104476;0,5604166666666667;9,0;19,0;24,0;25,0;2,44;2,0
farashi p-value cutoff;SVM;graphlet;unweighted;500;84,59833632742327;0,7746203185768764;27,0;44,0;50,0;56,0;3,903225806451613;2,0;64,99257986409435;0,5741062330361664;19,0;29,0;34,0;40,0;9,483870967741936;4,0
farashi p-value cutoff;SVM;graphlet;unweighted;1000;86,8922766949868;0,7788487056388891;24,0;49,0;61,0;71,0;5,445783132530121;2,0;67,45095413068415;0,547479217863673;9,0;19,0;33,0;50,0;15,421686746987952;6,0
farashi p-value cutoff;SVM;graphlet;unweighted;2000;88,75247226040027;0,8328481075798879;29,0;57,0;62,0;77,0;7,304347826086956;3,0;65,7943917401361;0,5451710542412929;4,0;16,0;24,0;43,0;24,26086956521739;11,5
farashi p-value cutoff;SVM;autoencode;weighted;100;73,70149253731344;0,74375;14,0;22,0;24,0;25,0;1,96;1,0;63,10447761194029;0,5236111111111111;7,0;20,0;25,0;25,0;2,28;2,0
farashi p-value cutoff;SVM;autoencode;weighted;500;84,81312973521831;0,7512350913486369;25,0;41,0;48,0;57,0;3,5806451612903225;2,0;67,39631336405529;0,5311164505525313;11,0;26,0;33,0;46,0;7,758064516129032;5,0
farashi p-value cutoff;SVM;autoencode;weighted;1000;86,77581277259837;0,7734629901207714;23,0;52,0;61,0;72,0;5,566265060240964;2,0;67,29722175313142;0,5340733452264846;9,0;25,0;35,0;50,0;15,855421686746988;7,0
farashi p-value cutoff;SVM;autoencode;weighted;2000;86,84422245315275;0,7817609974725946;30,0;51,0;57,0;71,0;8,369565217391305;2,0;62,98760796933839;0,48607335346138664;4,0;15,0;21,0;36,0;26,391304347826086;13,0
farashi p-value cutoff;SVM;autoencode;unweighted;100;72,98507462686568;0,7430555555555557;13,0;22,0;24,0;25,0;2,0;1,0;60,11940298507463;0,4930555555555556;6,0;20,0;25,0;25,0;2,4;2,0
farashi p-value cutoff;SVM;autoencode;unweighted;500;86,43384363039914;0,7672361339734686;25,0;45,0;53,0;58,0;3,274193548387097;2,0;68,58939311098962;0,5479425744467328;9,0;30,0;37,0;42,0;7,951612903225806;4,0
farashi p-value cutoff;SVM;autoencode;unweighted;1000;87,67753469169088;0,7775049246329693;27,0;51,0;59,0;72,0;4,9879518072289155;2,0;68,53465092850863;0,5234751063712552;11,0;22,0;30,0;52,0;14,506024096385541;8,0
farashi p-value cutoff;SVM;autoencode;unweighted;2000;88,18776328874883;0,808817395369362;34,0;51,0;59,0;74,0;7,282608695652174;2,0;65,94607958164327;0,5185407964302975;5,0;13,0;23,0;39,0;22,77173913043478;15,0
farashi p-value cutoff;SVM;combi;weighted;100;64,4776119402985;0,6048611111111112;11,0;21,0;24,0;25,0;2,32;2,0;53,3134328358209;0,35624999999999996;5,0;21,0;24,0;25,0;2,68;3,0
farashi p-value cutoff;SVM;combi;weighted;500;85,23588221510583;0,7648422713390602;25,0;43,0;51,0;58,0;3,7419354838709675;2,0;64,3052409591502;0,49733572637820456;9,0;26,0;33,0;42,0;8,935483870967742;5,0
farashi p-value cutoff;SVM;combi;weighted;1000;86,1830114076412;0,7428966216870008;25,0;50,0;58,0;69,0;5,710843373493976;2,0;67,21948208493714;0,5092128740888472;6,0;24,0;31,0;46,0;14,843373493975903;8,0
farashi p-value cutoff;SVM;combi;weighted;2000;85,31114165353715;0,7519350502935125;29,0;49,0;56,0;73,0;10,0;3,0;61,002676186964344;0,42385561612588596;4,0;11,0;21,0;32,0;27,684782608695652;15,5
farashi p-value cutoff;SVM;combi;unweighted;100;65,04477611940298;0,6222222222222222;11,0;21,0;23,0;25,0;2,36;2,0;61,940298507462686;0,5819444444444445;8,0;20,0;24,0;25,0;2,4;2,0
farashi p-value cutoff;SVM;combi;unweighted;500;86,1458251972194;0,8050910541496993;28,0;45,0;53,0;57,0;3,5483870967741935;2,0;66,05580723267983;0,5718851489208304;18,0;30,0;35,0;43,0;9,096774193548388;4,0
farashi p-value cutoff;SVM;combi;unweighted;1000;86,44505523301518;0,7616683594392089;26,0;49,0;58,0;74,0;5,63855421686747;3,0;67,42678786678856;0,5304369280236896;7,0;23,0;33,0;49,0;15,072289156626505;9,0
farashi p-value cutoff;SVM;combi;unweighted;2000;87,81496876850704;0,8075942751310058;30,0;49,0;58,0;76,0;7,8478260869565215;3,0;66,17500810119226;0,5275536892834176;3,0;11,0;22,0;43,0;23,967391304347824;11,5
farashi p-value cutoff;DT;normal;weighted;100;68,59701492537313;0,6201388888888889;11,0;21,0;23,0;24,0;2,4;2,0;73,7910447761194;0,6979166666666666;14,0;21,0;25,0;25,0;1,92;1,0
farashi p-value cutoff;DT;normal;weighted;500;84,20585019136139;0,742512349826933;23,0;41,0;49,0;56,0;3,774193548387097;2,0;73,3539014293525;0,6517403039101696;16,0;34,0;44,0;49,0;6,919354838709677;3,0
farashi p-value cutoff;DT;normal;weighted;1000;86,5294915767468;0,7631233861647395;28,0;50,0;57,0;72,0;5,72289156626506;2,0;77,10115473979049;0,6690144368838532;13,0;35,0;47,0;60,0;9,674698795180722;5,0
farashi p-value cutoff;DT;normal;weighted;2000;86,6165510151632;0,7863032836632691;31,0;54,0;59,0;72,0;8,641304347826088;2,0;79,3682187433654;0,7488367567753058;12,0;28,0;41,0;57,0;12,054347826086957;7,0
farashi p-value cutoff;DT;normal;unweighted;100;73,34328358208954;0,7312500000000002;12,0;22,0;24,0;24,0;2,2;2,0;73,64179104477611;0,6902777777777779;13,0;21,0;24,0;25,0;2,0;1,0
farashi p-value cutoff;DT;normal;unweighted;500;82,50605326876513;0,6960705628883225;21,0;39,0;47,0;55,0;4,064516129032258;2,0;74,93849097867687;0,6727019219879421;19,0;33,0;41,0;52,0;6,32258064516129;3,0
farashi p-value cutoff;DT;normal;unweighted;1000;85,38406890005649;0,734986435211333;28,0;48,0;52,0;71,0;6,0843373493975905;2,0;75,02227372515678;0,6609793021070949;11,0;30,0;41,0;56,0;10,349397590361447;6,0
farashi p-value cutoff;DT;normal;unweighted;2000;86,01608505693183;0,7673392568642928;31,0;50,0;56,0;71,0;8,804347826086957;2,5;78,29201725274602;0,7338526199235321;12,0;27,0;36,0;56,0;12,673913043478262;7,5
farashi p-value cutoff;DT;graphlet;weighted;100;64,83582089552239;0,5750000000000001;11,0;19,0;22,0;24,0;2,64;2,0;77,40298507462686;0,7604166666666666;15,0;21,0;25,0;25,0;1,8;1,0
