bp distance absolute;DEPICT p-value;predicates_score;node2vec_normal_score;node2vec_graphlet_score;node2vec_autoencode_score;node2vec_combi_score;distance_score;EVOKE_score;rdf2vec_score;struc2vec_score;Recall snps;Recall genes;Recall entries;ROC-AUC overall (lso);ROC-AUC - mean per snpl (lso);Hits@1(lso);Hits@3(lso);Hits@5(lso);Hits@10(lso);Mean rank (lso);Median rank (lso)
True;False;False;False;True;True;False;True;True;True;True;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;False;True;False;True;True;True;True;True;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;False;False;True;True;True;True;True;True;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
False;True;True;True;True;True;True;True;False;False;False;40,0;120,0;44,0;84,68066743383199;0,7959615384615384;28,0;41,0;42,0;44,0;1,6363636363636365;1,0
False;True;True;True;True;True;True;False;True;False;False;40,0;120,0;44,0;83,70253164556962;0,783301282051282;26,0;43,0;43,0;44,0;1,5681818181818181;1,0
False;True;True;True;True;True;True;False;False;True;False;40,0;120,0;44,0;83,60184119677791;0,7626282051282052;27,0;42,0;42,0;44,0;1,6363636363636365;1,0
False;True;True;True;True;True;True;False;False;False;True;40,0;120,0;44,0;87,90276179516687;0,8336538461538462;31,0;42,0;43,0;44,0;1,5;1,0
False;True;True;True;True;True;False;True;True;False;False;40,0;120,0;44,0;84,09090909090908;0,787275641025641;27,0;42,0;44,0;44,0;1,5454545454545454;1,0
False;True;True;True;True;True;False;True;False;True;False;40,0;120,0;44,0;80,52359033371692;0,7180448717948719;25,0;41,0;42,0;44,0;1,75;1,0
False;True;True;True;True;True;False;True;False;False;True;40,0;120,0;44,0;80,12082853855006;0,6813782051282052;24,0;42,0;43,0;44,0;1,7045454545454546;1,0
False;True;True;True;True;True;False;False;True;True;False;40,0;120,0;44,0;82,39355581127734;0,7562179487179488;25,0;43,0;44,0;44,0;1,5909090909090908;1,0
False;True;True;True;True;True;False;False;True;False;True;40,0;120,0;44,0;83,29976985040277;0,7570192307692308;26,0;43,0;44,0;44,0;1,5681818181818181;1,0
