refset;bp distance;algorithm;ROC-AUC overall (lco);ROC-AUC - mean per snpl (lco);Hits@1(lco);Hits@3(lco);Hits@5(lco);Hits@10(lco);Mean rank (lco);Median rank (lco)
farashi;2000;DT;61,06089997662531;0,449841130205149;9,0;25,0;40,0;81,0;23,985576923076923;15,5
farashi;2000;KNN1;60,632596776324476;0,4486057994459601;4,0;20,0;39,0;83,0;24,240384615384617;16,0
farashi;2000;KNN3;62,5521166803866;0,4663923685239982;6,0;18,0;37,0;86,0;22,5625;13,0
farashi;2000;KNN5;62,81066750002542;0,4660009704715413;5,0;19,0;37,0;78,0;22,442307692307693;13,0
farashi;2000;KNN7;63,2125788896003;0,46598313206288433;4,0;18,0;36,0;75,0;21,923076923076923;13,0
farashi;2000;KNN9;64,49370915779954;0,4911706487364152;4,0;16,0;35,0;78,0;20,302884615384617;13,0
farashi;2000;RF;61,51387999634136;0,45675696880349836;8,0;29,0;48,0;70,0;22,701923076923077;16,0
farashi p-value cutoff;100;LR;85,61194029850746;0,8506944444444443;16,0;24,0;25,0;25,0;1,48;1,0
farashi p-value cutoff;100;SVM;64,35820895522389;0,5437500000000001;9,0;20,0;23,0;24,0;2,64;2,0
farashi p-value cutoff;100;DT;60,298507462686565;0,48611111111111116;8,0;18,0;24,0;25,0;2,56;2,0
farashi p-value cutoff;100;KNN1;69,73134328358208;0,5729166666666666;10,0;21,0;24,0;25,0;2,16;2,0
farashi p-value cutoff;100;KNN3;67,40298507462687;0,53125;9,0;22,0;24,0;25,0;2,2;2,0
farashi p-value cutoff;100;KNN5;60,2089552238806;0,46527777777777785;7,0;20,0;23,0;25,0;2,56;2,0
farashi p-value cutoff;100;KNN7;59,37313432835821;0,4791666666666667;9,0;20,0;23,0;25,0;2,68;2,0
farashi p-value cutoff;100;KNN9;54,65671641791046;0,4222222222222222;6,0;20,0;24,0;24,0;2,84;3,0
farashi p-value cutoff;100;RF;66,50746268656717;0,6215277777777778;10,0;20,0;23,0;25,0;2,36;2,0
farashi p-value cutoff;500;LR;75,24505975162073;0,6515819067416384;19,0;38,0;46,0;49,0;6,564516129032258;3,0
farashi p-value cutoff;500;SVM;67,8053971725377;0,5575978083478442;12,0;26,0;35,0;48,0;7,935483870967742;5,0
farashi p-value cutoff;500;DT;69,8976802311958;0,5916932093678151;11,0;29,0;39,0;49,0;7,596774193548387;4,0
farashi p-value cutoff;500;KNN1;69,44856674216982;0,5850059522630974;13,0;28,0;37,0;48,0;7,790322580645161;4,5
farashi p-value cutoff;500;KNN3;67,39631336405529;0,5570183936626381;11,0;26,0;34,0;47,0;8,209677419354838;5,0
farashi p-value cutoff;500;KNN5;67,44513004764508;0,548262490001158;8,0;26,0;32,0;46,0;7,758064516129032;5,0
farashi p-value cutoff;500;KNN7;67,15222994610637;0,4969733534712407;4,0;26,0;34,0;47,0;7,790322580645161;5,0
farashi p-value cutoff;500;KNN9;66,36530500663908;0,4858416926293938;4,0;26,0;33,0;45,0;7,935483870967742;5,0
farashi p-value cutoff;500;RF;71,08392564242756;0,6002432475557576;15,0;31,0;38,0;46,0;7,064516129032258;3,5
farashi p-value cutoff;1000;LR;78,698166275542;0,7033411017195357;21,0;41,0;49,0;58,0;9,012048192771084;4,0
farashi p-value cutoff;1000;SVM;68,46739301332929;0,5556500959864233;12,0;23,0;29,0;49,0;14,325301204819278;8,0
farashi p-value cutoff;1000;DT;66,5215720300244;0,5259355869399872;10,0;20,0;26,0;48,0;15,156626506024097;8,0
farashi p-value cutoff;1000;KNN1;65,89703424621638;0,5142951470376583;12,0;17,0;25,0;48,0;15,46987951807229;8,0
farashi p-value cutoff;1000;KNN3;65,01947859101946;0,4852222552589622;9,0;16,0;22,0;47,0;15,72289156626506;9,0
farashi p-value cutoff;1000;KNN5;64,39494080721143;0,46407101864145417;7,0;15,0;20,0;46,0;15,819277108433734;9,0
farashi p-value cutoff;1000;KNN7;64,58565048012251;0,4610965230563971;5,0;16,0;23,0;48,0;15,91566265060241;8,0
farashi p-value cutoff;1000;KNN9;65,29578924688605;0,4742424426995851;6,0;14,0;21,0;48,0;15,120481927710843;9,0
