refset;bp distance;algorithm;Recall snps;Recall genes;ROC-AUC overall (lso);ROC-AUC - mean per snpl (lso);Hits@1(lso);Hits@3(lso);Hits@5(lso);Hits@10(lso);Mean rank (lso);Median rank (lso)
farashi;2000;LR;194,0;208,0;63,47297173694321;0,49811320872915615;11,0;32,0;44,0;78,0;21,60096153846154;14,0
farashi;2000;SVM;194,0;208,0;74,02509095805766;0,6436521126987933;20,0;63,0;79,0;123,0;14,48076923076923;9,0
farashi;2000;DT;194,0;208,0;87,29315299246927;0,7790183177032288;61,0;131,0;147,0;166,0;7,173076923076923;2,0
farashi;2000;KNN1;194,0;208,0;87,05121218126568;0,7665150859077196;58,0;128,0;144,0;164,0;7,163461538461538;2,0
farashi;2000;KNN3;194,0;208,0;85,29979318475158;0,7538522290290598;34,0;102,0;130,0;156,0;7,778846153846154;4,0
farashi;2000;KNN5;194,0;208,0;84,11247929306788;0,746696614443256;27,0;89,0;118,0;160,0;8,341346153846153;4,0
farashi;2000;KNN7;194,0;208,0;82,99138312143663;0,7436656604729556;30,0;69,0;108,0;154,0;8,653846153846153;5,0
farashi;2000;KNN9;194,0;208,0;82,38237065154425;0,7404488362705346;28,0;74,0;88,0;153,0;8,91826923076923;6,0
farashi;2000;RF;194,0;208,0;87,5535458398122;0,834123119543535;57,0;112,0;140,0;167,0;6,509615384615385;3,0
farashi p-value cutoff;100;LR;24,0;25,0;70,50746268656717;0,6875;14,0;20,0;24,0;25,0;2,12;1,0
farashi p-value cutoff;100;SVM;24,0;25,0;79,01492537313433;0,7972222222222222;15,0;23,0;24,0;25,0;1,8;1,0
farashi p-value cutoff;100;DT;24,0;25,0;83,97014925373134;0,829861111111111;16,0;24,0;25,0;25,0;1,56;1,0
farashi p-value cutoff;100;KNN1;24,0;25,0;82,68656716417911;0,8020833333333334;17,0;24,0;24,0;25,0;1,64;1,0
farashi p-value cutoff;100;KNN3;24,0;25,0;82,4776119402985;0,8194444444444445;16,0;24,0;24,0;25,0;1,64;1,0
farashi p-value cutoff;100;KNN5;24,0;25,0;80,56716417910448;0,78125;17,0;23,0;24,0;25,0;1,76;1,0
farashi p-value cutoff;100;KNN7;24,0;25,0;73,64179104477611;0,6493055555555556;11,0;23,0;24,0;25,0;1,96;2,0
farashi p-value cutoff;100;KNN9;24,0;25,0;71,88059701492537;0,7048611111111112;12,0;22,0;25,0;25,0;1,96;2,0
farashi p-value cutoff;100;RF;24,0;25,0;90,4179104477612;0,9340277777777777;19,0;25,0;25,0;25,0;1,32;1,0
farashi p-value cutoff;500;LR;60,0;62,0;68,35702569710223;0,5263875306013667;9,0;26,0;35,0;49,0;7,725806451612903;5,0
